code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,other_sports
1901709,TRUE,ZHANG Ning,ZHANG N,ZHANG Ning,Male,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,193.0,0.0,3x3 Basketball,Men,1997-02-19,CHENGDE,China,TAIYUAN,China,Ningzi,Hiking,Athlete; student,Is currently pursuing a Master's degree from Peking University (Beijing; CHN),Wife; Li Kexin (married June 2023). Father; Wenlong. Mother; Li Ruiping. Sister; Jing,Mandarin,National: Wang Zhanyu (CHN).<br>Club Yang Xuezeng (CHN),Basketball: Won three collegiate championships with Peking University and now plays for Shanxi in the Chinese Basketball Association
1901710,TRUE,ZHU Yuanbo,ZHU Y,ZHU Yuanbo,Male,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,203.0,0.0,3x3 Basketball,Men,1993-11-07,JIANGSU,China,CHANGZHOU,China,,,Athlete,,,Mandarin,National: Wang Zhanyu (CHN),
1901713,TRUE,LU Wenbo,LU W,LU Wenbo,Male,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,194.0,0.0,3x3 Basketball,Men,1997-08-04,HEILONGJIANG,China,HANGZHOU,China,,,Athlete,Studied at Chengdu Sports University (CHN),Wife; Wang Shiyu,Mandarin,National: Wang Zhanyu (CHN),Basketball: Has represented China internationally in 5-on-5 in qualifying matches since 2019
1901716,TRUE,ZHAO Jiaren,ZHAO J,ZHAO Jiaren,Male,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,203.0,0.0,3x3 Basketball,Men,1999-01-06,HARBIN,China,HANGZHOU,China,,,Athlete,Studied at Beijing Sport University (CHN),Brother; Jiayi,Mandarin,National: Wang Zhanyu (CHN),Basketball: Has played 5-on-5 for Guangsha in the Chinese Basketball Association since 2019
1568595,TRUE,VERGIAT Timothe,VERGIAT T,Timothe VERGIAT,Male,Athlete,FRA,France,France,France,France,FRA,187.0,0.0,3x3 Basketball,Men,1998-03-07,ROANNE,France,,,,,Athlete; student,Currently pursuing a Bachelor's degree in Business Administration from Emlyon Business School (Ecully; FRA),Father; Jean-Michel. Mother; Veronique. Younger brother; Matteo. Sister; Clarisse,French,National: Karim Souchu (FRA),Basketball: Has played 5-on-5 professionally in France; averaging 6.2 points per game in 2023/24 with ADA Blois. He has also represented France at the youth level; winning gold at the U16 and U18 European Championships in 2014 and 2016; respectively
1568603,TRUE,SEGUELA Franck,SEGUELA F,Franck SEGUELA,Male,Athlete,FRA,France,France,France,France,FRA,200.0,0.0,3x3 Basketball,Men,1997-05-30,DIJON,France,PAU,France,,Music; playing the guitar,Athlete,,Father; Laurent. Older brother; Thomas,French,National: Karim Souchu (FRA),Basketball: Played 5-on-5 professionally in France from 2013-2022; most recently with Stade Rochelais in Pro B; the second division of the Ligue Nationale de Basket (LNB)
1568606,TRUE,DUSSOULIER Lucas,DUSSOULIER L,Lucas DUSSOULIER,Male,Athlete,FRA,France,France,France,France,FRA,204.0,0.0,3x3 Basketball,Men,1996-07-27,LIBOURNE,France,,,,,Athlete,Studied at the National Institute of Sport; Expertise; and Performance (Paris; FRA),Older brothers; Thomas and Antoine,French,National: Karim Souchu (FRA),Basketball: Has played for Nanterre in France's LNB Elite since 2020 and represented France at the youth level at EuroBasket from 2012 to 2016; winning a U16 silver medal in 2012
1568608,TRUE,RAMBAUT Jules,RAMBAUT J,Jules RAMBAUT,Male,Athlete,FRA,France,France,France,France,FRA,200.0,0.0,3x3 Basketball,Men,1998-04-06,REIMS,France,,,,Enjoying good food and drinks,Athlete,,,French,National: Karim Souchu (FRA),Basketball: Has played 5-on-5 professionally in France; most recently for Boulazac in Pro B in the 2021/22 season. Has also represented France at the youth level at the 2017 U19 World Cup and won gold at the U16 and U18 European Championships in 2014 and 2016; respectively
1942534,TRUE,LACIS Francis,LACIS F,Francis LACIS,Male,Athlete,LAT,Latvia,Latvia,Latvia,Latvia,LAT,200.0,0.0,3x3 Basketball,Men,1999-02-22,,,RIGA,Latvia,,,Athlete,Received a Bachelor's degree in Cinema; TV and Digital Media from Oral Roberts University (Tulsa; OK; USA) in 2022,Father; Karlis (composer). Mother; Vineta Villistere-Lace,English; Latvian,,Basketball: Played collegiately at Oral Roberts University and professionally for Yoast United in the BNXT League and Rigas Zelli in the Estonian-Latvian Basketball League
1942535,TRUE,LASMANIS Karlis,LASMANIS K,Karlis LASMANIS,Male,Athlete,LAT,Latvia,Latvia,Latvia,Latvia,LAT,200.0,0.0,3x3 Basketball,Men,1994-04-08,VENTSPILS,Latvia,LIEPAJA,Latvia,Batman; because he is part of a 'dynamic duo' with his Latvia teammate Nauris Miezis; who is nicknamed Robin,Fishing,Athlete,,Father; Ugis. Mother; Daci. Sister; Ruta Kate,English; Latvian; Russian,National: Raimonds Feldmanis (LAT),Basketball: Has played 5-on-5 professionally for a number of Latvian clubs; including BK Saldus; BK Liepajas Lauvas and BK Jurmala. In the 2015/16 season he had a stint at SC Rasta Vechta in the German ProA league
1942536,TRUE,MIEZIS Nauris,MIEZIS N,Nauris MIEZIS,Male,Athlete,LAT,Latvia,Latvia,Latvia,Latvia,LAT,190.0,0.0,3x3 Basketball,Men,1991-03-31,KEKAVA,Latvia,,,Robin; because he is part of a dynamic duo with his Latvia teammate Karlis Lasmanis; who is nicknamed Batman,Fishing; his cat Mario,Athlete,,Wife; Marita Mieze (married September 2020). Mother; Lasmas Mieze. Younger sister; Yvonne,English; Latvian; Latvian Sign Language,National: Raimonds Feldmanis (LAT),Basketball: Has played 5-on-5 at a professional level; including for Latvian clubs Barons Kvartals Riga and BK Saldus
1942539,TRUE,RAIMO Zigmars,RAIMO Z,Zigmars RAIMO,Male,Athlete,LAT,Latvia,Latvia,Latvia,Latvia,LAT,200.0,0.0,3x3 Basketball,Men,1997-11-14,MADONA,Latvia,,,,,Athlete,Received a Bachelor's degree in Finance from the University of Hawai'i at Manoa (Honolulu; USA) in 2020,Wife; Taylor (married July 2022). Father; Edmunds. Mother; Iveta. One older sister,English; Latvian,National: Raimonds Feldmanis (LAT),Basketball: Played collegiate 5-on-5 for the University of Hawai'i and now plays professionally for Tigas Zelli in the Latvian Estonian Basketball League. Represented Latvia at the youth international level; playing at Eurobasket from 2013 to 2016
1943471,TRUE,PUKELIS Aurelijus,PUKELIS A,Aurelijus PUKELIS,Male,Athlete,LTU,Lithuania,Lithuania,Lithuania,Lithuania,LTU,205.0,0.0,3x3 Basketball,Men,1994-05-17,SILALE,Lithuania,,,,,Athlete,,Wife; Monika Pukeliene (married July 2022),Lithuanian,National: Dainius Novickas (LTU),Basketball: Has played professionally in the National Basketball League; Lithuania's second-tier league; since 2015
